CATALOGNUMBER	SEX
UCSB-IZC00043277	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043293	MALE
UCSB-IZC00043311	MALE
UCSB-IZC00043311	MALE
UCSB-IZC00043766	MALE
UCSB-IZC00043838	FEMALE
UCSB-IZC00043838	FEMALE
UCSB-IZC00045301	MALE
UCSB-IZC00045302	FEMALE
UCSB-IZC00045304	MALE
UCSB-IZC00045305	MALE
UCSB-IZC00045306	FEMALE
UCSB-IZC00045307	FEMALE
UCSB-IZC00045308	FEMALE
UCSB-IZC00045309	MALE
UCSB-IZC00045313	FEMALE
UCSB-IZC00045314	FEMALE
UCSB-IZC00045315	FEMALE
UCSB-IZC00045316	MALE
UCSB-IZC00045319	FEMALE
UCSB-IZC00045320	FEMALE
UCSB-IZC00045324	MALE
UCSB-IZC00045332	MALE
UCSB-IZC00045333	FEMALE
UCSB-IZC00045334	FEMALE
UCSB-IZC00045337	MALE
UCSB-IZC00045338	FEMALE
UCSB-IZC00045340	FEMALE
UCSB-IZC00045343	FEMALE
UCSB-IZC00045344	MALE
UCSB-IZC00045345	MALE
UCSB-IZC00045347	MALE
UCSB-IZC00045350	FEMALE
UCSB-IZC00045351	FEMALE
UCSB-IZC00045352	FEMALE
UCSB-IZC00045356	FEMALE
UCSB-IZC00045357	MALE
UCSB-IZC00045359	FEMALE
UCSB-IZC00045484	FEMALE
UCSB-IZC00045487	MALE
UCSB-IZC00045497	MALE
UCSB-IZC00045505	FEMALE
UCSB-IZC00045512	FEMALE
UCSB-IZC00045517	FEMALE
UCSB-IZC00045519	FEMALE
UCSB-IZC00045524	MALE
UCSB-IZC00045525	MALE
UCSB-IZC00045526	FEMALE
UCSB-IZC00045529	FEMALE
UCSB-IZC00045537	FEMALE
UCSB-IZC00045540	FEMALE
UCSB-IZC00045663	FEMALE
UCSB-IZC00045683	MALE
UCSB-IZC00045710	MALE
UCSB-IZC00045906	MALE
UCSB-IZC00045909	FEMALE
UCSB-IZC00045910	MALE
UCSB-IZC00045912	FEMALE
UCSB-IZC00045915	MALE
UCSB-IZC00045918	FEMALE
UCSB-IZC00045923	MALE
UCSB-IZC00045927	MALE
UCSB-IZC00045939	FEMALE
UCSB-IZC00045949	FEMALE
UCSB-IZC00045954	FEMALE
UCSB-IZC00045960	MALE
UCSB-IZC00045990	MALE
UCSB-IZC00045998	MALE
UCSB-IZC00046025	MALE
UCSB-IZC00046029	MALE
UCSB-IZC00046030	FEMALE
UCSB-IZC00046031	MALE
UCSB-IZC00046034	FEMALE
UCSB-IZC00046038	FEMALE
UCSB-IZC00046040	FEMALE
UCSB-IZC00046043	FEMALE
UCSB-IZC00046047	FEMALE
UCSB-IZC00046048	MALE
UCSB-IZC00046055	FEMALE
UCSB-IZC00046058	MALE
UCSB-IZC00046060	FEMALE
UCSB-IZC00046062	MALE
UCSB-IZC00046063	FEMALE
UCSB-IZC00046065	FEMALE
UCSB-IZC00046066	FEMALE
UCSB-IZC00046069	MALE
UCSB-IZC00046071	FEMALE
UCSB-IZC00046072	FEMALE
UCSB-IZC00046322	FEMALE
UCSB-IZC00046323	FEMALE
UCSB-IZC00046327	MALE
UCSB-IZC00046328	FEMALE
UCSB-IZC00046333	MALE
UCSB-IZC00046334	FEMALE
UCSB-IZC00046335	FEMALE
UCSB-IZC00046337	FEMALE
UCSB-IZC00046338	FEMALE
UCSB-IZC00046341	FEMALE
UCSB-IZC00046343	FEMALE
UCSB-IZC00046346	MALE
UCSB-IZC00046347	FEMALE
UCSB-IZC00046350	FEMALE
UCSB-IZC00046354	MALE
UCSB-IZC00046360	FEMALE
UCSB-IZC00046361	FEMALE
UCSB-IZC00046369	MALE
UCSB-IZC00046373	MALE
UCSB-IZC00046376	FEMALE
UCSB-IZC00046379	FEMALE
UCSB-IZC00046384	FEMALE
UCSB-IZC00046386	MALE
UCSB-IZC00046395	MALE
UCSB-IZC00046396	FEMALE
UCSB-IZC00046397	FEMALE
UCSB-IZC00046399	MALE
UCSB-IZC00046401	FEMALE
UCSB-IZC00046402	FEMALE
UCSB-IZC00046403	FEMALE
UCSB-IZC00046404	FEMALE
UCSB-IZC00046405	MALE
UCSB-IZC00046406	FEMALE
UCSB-IZC00046408	FEMALE
UCSB-IZC00046410	FEMALE
UCSB-IZC00046411	MALE
UCSB-IZC00046414	FEMALE
UCSB-IZC00046417	FEMALE
UCSB-IZC00046418	FEMALE
UCSB-IZC00046419	MALE
UCSB-IZC00046420	FEMALE
UCSB-IZC00046421	FEMALE
UCSB-IZC00046423	MALE
UCSB-IZC00046424	FEMALE
UCSB-IZC00046427	FEMALE
UCSB-IZC00046429	FEMALE
UCSB-IZC00046430	MALE
UCSB-IZC00046436	FEMALE
UCSB-IZC00046439	FEMALE
UCSB-IZC00046440	FEMALE
UCSB-IZC00046445	MALE
UCSB-IZC00046447	FEMALE
UCSB-IZC00046450	FEMALE
UCSB-IZC00046451	FEMALE
UCSB-IZC00046462	FEMALE
UCSB-IZC00046463	MALE
UCSB-IZC00046466	MALE
UCSB-IZC00046474	MALE
UCSB-IZC00046481	FEMALE
UCSB-IZC00046482	FEMALE
UCSB-IZC00046484	MALE
UCSB-IZC00046490	MALE
UCSB-IZC00046493	FEMALE
UCSB-IZC00046563	FEMALE
UCSB-IZC00046564	MALE
UCSB-IZC00046565	FEMALE
UCSB-IZC00046566	FEMALE
UCSB-IZC00046568	MALE
UCSB-IZC00046570	FEMALE
UCSB-IZC00046573	MALE
UCSB-IZC00046574	FEMALE
UCSB-IZC00046576	MALE
UCSB-IZC00046577	FEMALE
UCSB-IZC00046579	FEMALE
UCSB-IZC00046581	FEMALE
UCSB-IZC00046582	MALE
UCSB-IZC00046583	FEMALE
UCSB-IZC00046584	FEMALE
UCSB-IZC00046585	MALE
UCSB-IZC00046587	MALE
UCSB-IZC00046588	FEMALE
UCSB-IZC00046589	FEMALE
UCSB-IZC00046590	MALE
UCSB-IZC00046592	FEMALE
UCSB-IZC00046593	FEMALE
UCSB-IZC00046594	MALE
UCSB-IZC00046595	MALE
UCSB-IZC00046596	FEMALE
UCSB-IZC00046598	MALE
UCSB-IZC00046599	FEMALE
UCSB-IZC00046600	FEMALE
UCSB-IZC00046601	FEMALE
UCSB-IZC00046602	FEMALE
UCSB-IZC00046603	FEMALE
UCSB-IZC00046604	FEMALE
UCSB-IZC00046605	FEMALE
UCSB-IZC00046606	FEMALE
UCSB-IZC00046607	FEMALE
UCSB-IZC00046608	MALE
UCSB-IZC00046610	FEMALE
UCSB-IZC00046611	FEMALE
UCSB-IZC00046612	MALE
UCSB-IZC00046613	FEMALE
UCSB-IZC00046614	FEMALE
UCSB-IZC00046616	MALE
UCSB-IZC00046617	FEMALE
UCSB-IZC00046619	FEMALE
UCSB-IZC00046620	FEMALE
UCSB-IZC00046621	MALE
UCSB-IZC00046622	FEMALE
UCSB-IZC00046624	MALE
UCSB-IZC00046625	FEMALE
UCSB-IZC00046627	MALE
UCSB-IZC00046628	FEMALE
UCSB-IZC00046629	MALE
UCSB-IZC00046630	FEMALE
UCSB-IZC00046631	FEMALE
UCSB-IZC00046635	FEMALE
UCSB-IZC00046636	FEMALE
UCSB-IZC00046637	MALE
UCSB-IZC00046639	FEMALE
UCSB-IZC00046640	FEMALE
UCSB-IZC00046642	FEMALE
UCSB-IZC00046643	FEMALE
UCSB-IZC00046644	FEMALE
UCSB-IZC00046645	FEMALE
UCSB-IZC00046646	FEMALE
UCSB-IZC00046647	FEMALE
UCSB-IZC00046648	FEMALE
UCSB-IZC00046649	FEMALE
UCSB-IZC00046650	FEMALE
UCSB-IZC00046651	FEMALE
UCSB-IZC00046652	FEMALE
UCSB-IZC00046653	MALE
UCSB-IZC00046655	FEMALE
UCSB-IZC00046656	FEMALE
UCSB-IZC00046657	FEMALE
UCSB-IZC00046658	FEMALE
UCSB-IZC00046659	FEMALE
UCSB-IZC00046660	FEMALE
UCSB-IZC00046661	MALE
UCSB-IZC00046662	FEMALE
UCSB-IZC00046663	FEMALE
UCSB-IZC00046664	MALE
UCSB-IZC00046666	FEMALE
UCSB-IZC00046667	FEMALE
UCSB-IZC00046668	FEMALE
UCSB-IZC00046669	FEMALE
UCSB-IZC00046670	MALE
UCSB-IZC00046671	FEMALE
UCSB-IZC00046672	FEMALE
UCSB-IZC00046673	FEMALE
